board: 0 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 1 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 253 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 254 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 255 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 256 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 257 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 258 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 259 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 260 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 261 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 262 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 263 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 264 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 265 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 266 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 267 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 268 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 269 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 270 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 271 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 272 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 273 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 274 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 275 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 276 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 277 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 278 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 279 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 280 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 281 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 282 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 283 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 284 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 285 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 286 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 287 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 288 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 289 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 290 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 291 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 292 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 293 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 294 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 295 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 296 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 297 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 298 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 299 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 300 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 301 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 302 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 303 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 304 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 305 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 306 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 307 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 308 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 309 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 310 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 311 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 312 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 313 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 314 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 315 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 316 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 317 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 318 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 319 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 320 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 321 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 322 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 323 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 324 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 325 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 326 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 327 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 328 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 329 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 330 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 331 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 332 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 333 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 334 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 335 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 336 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 337 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 338 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 339 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 340 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 341 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 342 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 343 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 344 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 345 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 346 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 347 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 348 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 349 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 350 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 351 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 352 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 353 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 354 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 355 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 356 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 357 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 358 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 359 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 360 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 361 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 362 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 363 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 364 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 365 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 366 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 367 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 368 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 369 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 370 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 371 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 372 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 373 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 374 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 375 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 376 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 377 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 378 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 379 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 380 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 381 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 382 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 383 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 384 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 385 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 386 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 387 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 388 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 389 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 390 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 391 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 392 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 393 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 394 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 395 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 396 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 397 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 398 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 399 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 400 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 401 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 402 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 403 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 404 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 405 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 406 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 407 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 408 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 409 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 410 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 411 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 412 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 413 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 414 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 415 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 416 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 417 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 418 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 419 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 420 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 421 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 422 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 423 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 424 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 425 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 426 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 427 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 428 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 429 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 430 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 431 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 432 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 433 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 434 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 435 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 436 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 437 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 438 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 439 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 440 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 441 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 442 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 443 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 444 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 445 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 446 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 447 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 448 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 449 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 450 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 451 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 452 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 453 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 454 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 455 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 456 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 457 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 458 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 459 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 460 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 461 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 462 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 463 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 464 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 465 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 466 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 467 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 468 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 469 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 470 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 471 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 472 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 473 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 474 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 475 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 476 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 477 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 478 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 479 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 480 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 481 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 482 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 483 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 484 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 485 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 486 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 487 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 488 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 489 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 490 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 491 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 492 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 493 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 494 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 495 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 496 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 497 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 498 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 499 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 500 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 501 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 502 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 503 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 504 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 505 dimension: 6 filled tiles: 0
